"Year ","Crop ","Month ","City","State","Price"
"2023","Paddy ","January ","Nellore ","Andhra Pradesh ","2813"
"2023","Paddy ","February","Nellore ","Andhra Pradesh ","2930"
"2023","Paddy ","March ","Nellore ","Andhra Pradesh ","2840"
"2023","Paddy ","April ","Nellore ","Andhra Pradesh ","2650"
"2023","Paddy ","May","Nellore ","Andhra Pradesh ","2525"
"2023","Paddy ","June","Nellore ","Andhra Pradesh ","2740"
"2023","Paddy ","July ","Nellore ","Andhra Pradesh ","3050"
"2023","Paddy ","August ","Nellore ","Andhra Pradesh ","3176"
"2023","Paddy ","September ","Nellore ","Andhra Pradesh ","3160"
"2023","Paddy ","October ","Nellore ","Andhra Pradesh ","3130"
"2023","Paddy ","November ","Nellore ","Andhra Pradesh ","3110"
"2023","Paddy ","December ","Nellore ","Andhra Pradesh ","3280"
"2023","Paddy ","January","Parvatipuram","Andhra Pradesh ","1941"
"2023","Paddy ","February","Parvatipuram","Andhra Pradesh ","2015"
"2023","Paddy ","March","Parvatipuram","Andhra Pradesh ","2040"
"2023","Paddy ","April","Parvatipuram","Andhra Pradesh ","2040"
"2023","Paddy ","May","Parvatipuram","Andhra Pradesh ","1995"
"2023","Paddy ","June","Parvatipuram","Andhra Pradesh ","1942"
"2023","Paddy ","July","Parvatipuram","Andhra Pradesh ","1946"
"2023","Paddy ","August","Parvatipuram","Andhra Pradesh ","1963"
"2023","Paddy ","September","Parvatipuram","Andhra Pradesh ","2035"
"2023","Paddy ","October","Parvatipuram","Andhra Pradesh ","2083"
"2023","Paddy ","November","Parvatipuram","Andhra Pradesh ","2100"
"2023","Paddy ","December","Parvatipuram","Andhra Pradesh ","2160"
"2023","Paddy ","January","Sasaram ","Bihar","1810"
"2023","Paddy ","February","Sasaram ","Bihar","1820"
"2023","Paddy ","March","Sasaram ","Bihar","1828"
"2023","Paddy ","April","Sasaram ","Bihar","1850"
"2023","Paddy ","May","Sasaram ","Bihar","1880"
"2023","Paddy ","June","Sasaram ","Bihar","1918"
"2023","Paddy ","July","Sasaram ","Bihar","1945"
"2023","Paddy ","August","Sasaram ","Bihar","1973"
"2023","Paddy ","September","Sasaram ","Bihar","2012"
"2023","Paddy ","October","Sasaram ","Bihar","2038"
"2023","Paddy ","November","Sasaram ","Bihar","2018"
"2023","Paddy ","December","Sasaram ","Bihar","1948"
"2023","Paddy ","January","Gulabbagh","Bihar","1753"
"2023","Paddy ","February","Gulabbagh","Bihar","1733"
"2023","Paddy ","March","Gulabbagh","Bihar","1748"
"2023","Paddy ","April","Gulabbagh","Bihar","1760"
"2023","Paddy ","May","Gulabbagh","Bihar","1773"
"2023","Paddy ","June","Gulabbagh","Bihar","1762"
"2023","Paddy ","July","Gulabbagh","Bihar","1785"
"2023","Paddy ","August","Gulabbagh","Bihar","1823"
"2023","Paddy ","September","Gulabbagh","Bihar","1858"
"2023","Paddy ","October","Gulabbagh","Bihar","1878"
"2023","Paddy ","November","Gulabbagh","Bihar","1875"
"2023","Paddy ","December","Gulabbagh","Bihar","1838"
"2023","Paddy ","January","Bavla","Gujarat ","1901"
"2023","Paddy ","February","Bavla","Gujarat ","1929"
"2023","Paddy ","March","Bavla","Gujarat ","1875"
"2023","Paddy ","April","Bavla","Gujarat ","1933"
"2023","Paddy ","May","Bavla","Gujarat ","1857"
"2023","Paddy ","June","Bavla","Gujarat ","2042"
"2023","Paddy ","July","Bavla","Gujarat ","2118"
"2023","Paddy ","August","Bavla","Gujarat ","2319"
"2023","Paddy ","September","Bavla","Gujarat ","2056"
"2023","Paddy ","October","Bavla","Gujarat ","1895"
"2023","Paddy ","November","Bavla","Gujarat ","1934"
"2023","Paddy ","December","Bavla","Gujarat ","2115"
"2023","Paddy ","January","Ambala ","Haryana ","4653"
"2023","Paddy ","February","Ambala ","Haryana ","4850"
"2023","Paddy ","March","Ambala ","Haryana ","4924"
"2023","Paddy ","April","Ambala ","Haryana ","4544"
"2023","Paddy ","May","Ambala ","Haryana ","4508"
"2023","Paddy ","June","Ambala ","Haryana ","4430"
"2023","Paddy ","July","Ambala ","Haryana ","3713"
"2023","Paddy ","August","Ambala ","Haryana ","3702"
"2023","Paddy ","September","Ambala ","Haryana ","3858"
"2023","Paddy ","October","Ambala ","Haryana ","3953"
"2023","Paddy ","November","Ambala ","Haryana ","4500"
"2023","Paddy ","December","Ambala ","Haryana ","4936"
"2022","Paddy ","January","Nellore ","Andhra Pradesh ","1980"
"2022","Paddy ","February","Nellore ","Andhra Pradesh ","1980"
"2022","Paddy ","March","Nellore ","Andhra Pradesh ","1980"
"2022","Paddy ","April","Nellore ","Andhra Pradesh ","1976"
"2022","Paddy ","May","Nellore ","Andhra Pradesh ","1960"
"2022","Paddy ","June","Nellore ","Andhra Pradesh ","2120"
"2022","Paddy ","July","Nellore ","Andhra Pradesh ","2476"
"2022","Paddy ","August","Nellore ","Andhra Pradesh ","2600"
"2022","Paddy ","September","Nellore ","Andhra Pradesh ","2730"
"2022","Paddy ","October","Nellore ","Andhra Pradesh ","2850"
"2022","Paddy ","November","Nellore ","Andhra Pradesh ","2830"
"2022","Paddy ","December","Nellore ","Andhra Pradesh ","2860"
"2022","Paddy ","January","Parvatipuram","Andhra Pradesh ","1873"
"2022","Paddy ","February","Parvatipuram","Andhra Pradesh ","1888"
